package,dependency
julia,curl
meson,python-setuptools
libmpc,gmp
python@3.12,pkg-config
ghostscript,pkg-config
z3,python-setuptools
curl,pkg-config
ruby,libyaml
suite-sparse,gcc
dbus,automake
ghostscript,libtool
jbig2dec,libtool
curl,libtool
glib,pcre2
jpeg-turbo,cmake
jasper,jpeg-turbo
suite-sparse,metis
brotli,cmake
libpng,autoconf
llvm,zstd
uchardet,cmake
nasm,autoconf
boost,zstd
libmpc,autoconf
nasm,asciidoc
ruby,autoconf
libidn2,autoconf
openjpeg,libtiff
isl,gmp
python@3.12,berkeley-db@5
gnu-getopt,pkg-config
groff,glib
swig,automake
libidn2,gettext
elfutils,zlib
groff,ghostscript
ghostscript,fontconfig
groff,netpbm
libtirpc,krb5
fontconfig,automake
gcc,isl
llvm,elfutils
glib,dbus
util-linux,gettext
julia,libssh2
ruby,openssl@3
gcc,libmpc
curl,libnghttp2
groff,psutils
suite-sparse,openblas
xmlto,docbook
julia,mpfr
doxygen,cmake
elfutils,m4
fontconfig,gettext
rtmpdump,openssl@3
swig,python-setuptools
ghostscript,libtiff
julia,ca-certificates
libomp,python@3.12
boost,xz
libgit2,libssh2
libidn2,libunistring
libtiff,jpeg-turbo
meson,ninja
util-linux,readline
perl,gdbm
libpng,automake
nasm,automake
asciidoc,source-highlight
julia,pcre2
libmpc,automake
openldap,openssl@3
gcc,mpfr
libssh2,libtool
libnghttp2,pkg-config
patchelf,automake
julia,cmake
krb5,openssl@3
libnghttp2,libtool
libidn2,automake
llvm,ninja
automake,autoconf
json-c,cmake
lit,python-setuptools
llvm,z3
gmp,libtool
libgit2,pkg-config
freetype,pkg-config
curl,libidn2
help2man,gettext
meson,python@3.12
rust,libgit2
isl,automake
z3,python@3.12
openssl@3,ca-certificates
groff,pkg-config
gcc,binutils
llvm,python@3.12
libyaml,libtool
julia,mbedtls@2
ghostscript,autoconf
curl,autoconf
openjpeg,libpng
libgit2,cmake
jbig2dec,autoconf
fontconfig,util-linux
pcre2,libtool
libtool,m4
curl,openldap
metis,cmake
glib,gettext
julia,libnghttp2
dbus,pkg-config
dbus,libtool
perl,berkeley-db@5
ronn,groff
nasm,xmlto
glib,python-setuptools
openblas,gcc
libnsl,pkg-config
rust,openssl@3
ghostscript,jbig2dec
mbedtls@2,cmake
julia,suite-sparse
binutils,pkg-config
mbedtls@2,python@3.12
util-linux,pkg-config
gnu-getopt,autoconf
python@3.12,openssl@3
cmake,openssl@3
curl,zstd
python@3.12,libnsl
zstd,lz4
curl,openssl@3
mpfr,libtool
libidn2,gengetopt
libtiff,zstd
little-cms2,libtiff
libomp,cmake
julia,openlibm
libomp,lit
ghostscript,jpeg-turbo
netpbm,libtiff
dbus,autoconf-archive
little-cms2,jpeg-turbo
fontconfig,pkg-config
asciidoc,python@3.12
ghostscript,libpng
autoconf,m4
xmlto,gnu-getopt
fontconfig,libtool
python@3.12,mpdecimal
elfutils,bzip2
groff,texinfo
julia,gmp
suite-sparse,mpfr
llvm,pkg-config
glib,util-linux
jasper,cmake
openjpeg,little-cms2
swig,python@3.12
psutils,python@3.12
julia,utf8proc
mpfr,autoconf
z3,cmake
groff,uchardet
ghostscript,automake
jbig2dec,automake
curl,automake
libidn2,help2man
llvm,cmake
julia,libgit2
libidn,pkg-config
sqlite,readline
libmpc,mpfr
python@3.12,sqlite
psutils,libpaper
julia,gcc
gcc,gmp
libssh2,autoconf
openldap,util-linux
ghostscript,openjpeg
libnghttp2,autoconf
fontconfig,freetype
suite-sparse,cmake
source-highlight,boost
lit,python@3.12
ronn,util-linux
libpaper,help2man
libpng,libtool
gmp,autoconf
ruby,pkg-config
libmpc,libtool
libidn2,pkg-config
libtiff,xz
julia,patchelf
elfutils,zstd
boost,icu4c
libidn2,libtool
glib,ninja
zstd,xz
curl,rtmpdump
glib,pkg-config
ghostscript,little-cms2
libyaml,autoconf
xmlto,docbook-xsl
curl,brotli
pcre2,autoconf
asciidoctor,ruby
libssh2,openssl@3
llvm,swig
glib,bison
isl,libtool
gengetopt,texinfo
dbus,autoconf
glib,python@3.12
glib,meson
patchelf,autoconf
netpbm,jasper
mpfr,gmp
openjpeg,doxygen
gcc,zstd
julia,openblas
libgit2,openssl@3
swig,pcre2
netpbm,jpeg-turbo
ghostscript,libidn
zstd,cmake
mpfr,automake
help2man,perl
netpbm,libpng
suite-sparse,libomp
python-setuptools,python@3.12
isl,autoconf
freetype,libpng
lit,llvm
libidn2,ronn
llvm,binutils
ghostscript,freetype
swig,autoconf
asciidoc,docbook
libidn2,texinfo
libssh2,automake
rust,libssh2
libnghttp2,automake
docbook-xsl,docbook
fontconfig,json-c
elfutils,xz
fontconfig,autoconf
openjpeg,cmake
dbus,xmlto
gmp,automake
gnu-getopt,asciidoctor
ruby,rust
suite-sparse,gmp
jpeg-turbo,nasm
julia,p7zip
libnsl,libtirpc
curl,libssh2
autoconf-archive,autoconf
doxygen,bison
python@3.12,xz
binutils,zstd
gnu-getopt,automake
rust,pkg-config
texinfo,gettext
libyaml,automake
rust,llvm
pcre2,automake
